"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.777231918E0,-4.692635238E-1,7.326257229E-1,1.013585281E1
4.803045918E0,-3.543418646E-1,6.416460276E-1,1.006402683E1
4.826625584E0,-4.165911078E-1,5.793967843E-1,9.973047256E0
4.851716751E0,-3.974374831E-1,5.937620401E-1,1.026035118E1
4.873090668E0,-4.213795066E-1,6.416460276E-1,1.021246719E1
4.896721543E0,-4.357447028E-1,7.709329724E-1,1.009275723E1
4.922436334E0,-4.453215301E-1,7.613561153E-1,1.002571964E1
4.946530043E0,-4.740519226E-1,5.315127969E-1,1.010712242E1
4.966602834E0,-4.548983276E-1,4.596867263E-1,1.017894840E1
4.986778126E0,-3.782838583E-1,5.027823448E-1,1.018373680E1
5.012009376E0,-4.261679053E-1,5.506663918E-1,1.013106441E1
5.037126084E0,-4.501099288E-1,6.416460276E-1,1.017894840E1
5.062397376E0,-5.075707436E-1,7.709329724E-1,9.987412453E0
5.082436543E0,-3.734954596E-1,6.607996821E-1,1.015021801E1
5.106559168E0,-4.213795066E-1,6.320692301E-1,1.011669922E1
5.126710001E0,-4.118026793E-1,5.937620401E-1,1.012148762E1
5.147045668E0,-3.974374831E-1,6.464344859E-1,1.014542961E1
5.171570459E0,-3.830722570E-1,6.560112834E-1,1.010712242E1
5.191649751E0,-4.118026793E-1,6.368576288E-1,1.013585281E1
5.217196709E0,-4.692635238E-1,6.272808313E-1,1.013106441E1
5.243941834E0,-4.309563041E-1,5.698199868E-1,1.011191082E1
5.266680959E0,-4.261679053E-1,5.698199868E-1,1.010233402E1
5.291534626E0,-3.974374831E-1,5.650315881E-1,1.005445004E1
5.311944918E0,-4.596867263E-1,6.033388376E-1,1.003529644E1
5.336548168E0,-4.022258818E-1,5.410895944E-1,1.014064121E1
5.362254626E0,-4.070142806E-1,6.224924326E-1,1.010233402E1
5.382485501E0,-3.926490843E-1,6.655880809E-1,1.020767879E1
5.402956543E0,-4.932055473E-1,7.422025204E-1,9.877279282E0
5.427337459E0,-3.112462163E-1,5.937620401E-1,1.008796883E1
5.451808376E0,-4.740519226E-1,5.315127969E-1,1.005445004E1
5.476627084E0,-4.788403511E-1,5.027823448E-1,1.004008484E1
5.502489126E0,-4.070142806E-1,5.698199868E-1,1.020289040E1
5.523012834E0,-4.405331016E-1,6.368576288E-1,1.005445004E1
5.546512709E0,-4.501099288E-1,7.038952708E-1,1.008796883E1
5.571674584E0,-4.357447028E-1,5.554547906E-1,1.009275723E1
5.596629709E0,-4.596867263E-1,4.788403511E-1,1.015500641E1
5.622717459E0,-4.836287498E-1,4.501099288E-1,1.012148762E1
5.646691543E0,-4.309563041E-1,5.410895944E-1,1.019331360E1
5.666822001E0,-3.974374831E-1,5.554547906E-1,1.004966164E1
5.691600418E0,-4.453215301E-1,6.272808313E-1,1.016937160E1
5.711803918E0,-4.740519226E-1,6.416460276E-1,9.896432877E0
